_id,created_at,host_id,request_id,status,tower_id,updated_at,user_id,approved_at
"ObjectId(""5e9f2614126956e0aabec29f"")",1587488276.40568,"ObjectId(""5e9f1299126956e0aabec29b"")","ObjectId(""5e9f2614126956e0aabec29e"")",approved,"ObjectId(""5e9f1351126956e0aabec29c"")",1587488531.76498,"ObjectId(""5e940b5e4c97feb78e8d6ef8"")",1587488531.76497
"ObjectId(""5ea1af74126956e0aabec2b1"")",1587654516.40919,"ObjectId(""5e938e0c4c97feb78e8d6ef2"")","ObjectId(""5ea1af74126956e0aabec2b0"")",approved,"ObjectId(""5e9d2319126956e0aabec297"")",1587656834.19129,"ObjectId(""5e988f6b126956e0aabec295"")",1587656834.19128
"ObjectId(""5ea9406f126956e0aabec2cb"")",1588150383.27829,"ObjectId(""5e938e0c4c97feb78e8d6ef2"")","ObjectId(""5ea9406f126956e0aabec2ca"")",approved,"ObjectId(""5ea93f61126956e0aabec2c9"")",1588150498.50823,"ObjectId(""5e9876f64c97feb78e8d6f00"")",1588150498.50822
"ObjectId(""5eac4616126956e0aabec2d3"")",1588348438.86732,"ObjectId(""5e9ffeea126956e0aabec2a1"")","ObjectId(""5eac4616126956e0aabec2d2"")",approved,"ObjectId(""5e9fff90126956e0aabec2a2"")",1588348464.66301,"ObjectId(""5eac4578126956e0aabec2d1"")",1588348464.663
"ObjectId(""5ead2437126956e0aabec2ea"")",1588405303.02518,"ObjectId(""5e9f1299126956e0aabec29b"")","ObjectId(""5ead2437126956e0aabec2e9"")",rejected,"ObjectId(""5e9f1351126956e0aabec29c"")",1588405378.51763,"ObjectId(""5e9412ba4c97feb78e8d6efb"")",1588405378.51762
