_id,created_at,message,sent_to,sent_to_count,share,updated_at,user_id_t,user_id
"ObjectId(""5e9877c2126956e0aabec293"")",1587050434.91699,Hello, I'm your neighbor and I need your help to get connected.,"[""5e938e0c4c97feb78e8d6ef2""]",1,"{""name"":true,""picture"":true,""number"":true}",1587050434.91699,"ObjectId(""5e9876f64c97feb78e8d6f00"")"
"ObjectId(""5e9f2614126956e0aabec29e"")",1587488276.40492,Hello, I'm your neighbor and I need your help to get connected.,"[""5e9f1299126956e0aabec29b""]",1,"{""name"":true,""picture"":true,""number"":true}",1587488276.40492,"ObjectId(""5e940b5e4c97feb78e8d6ef8"")"
"ObjectId(""5ea1af74126956e0aabec2b0"")",1587654516.40844,Hello, I'm your neighbor and I need your help to get connected.,"[""5e938e0c4c97feb78e8d6ef2""]",1,"{""name"":true,""picture"":true,""number"":true}",1587654516.40844,"ObjectId(""5e988f6b126956e0aabec295"")"
"ObjectId(""5ea9406f126956e0aabec2ca"")",1588150383.27752,Hello, I'm your neighbor and I need your help to get connected. I want to join an online class.,"[""5e938e0c4c97feb78e8d6ef2""]",1,"{""name"":true,""picture"":true,""number"":false}",1588150383.27752,"ObjectId(""5e9876f64c97feb78e8d6f00"")"
"ObjectId(""5eac4616126956e0aabec2d2"")",1588348438.86664,Hello, I'm your neighbor and I need your help to get connected.,"[""5e9ffeea126956e0aabec2a1""]",1,"{""name"":true,""picture"":true,""number"":true}",1588348438.86663,"ObjectId(""5eac4578126956e0aabec2d1"")"
"ObjectId(""5ead2437126956e0aabec2e9"")",1588405303.02447,Hello, I'm your neighbor and I need your help to get connected.,"[""5e9f1299126956e0aabec29b""]",1,"{""name"":true,""picture"":true,""number"":true}",1588405303.02446,"ObjectId(""5e9412ba4c97feb78e8d6efb"")"
